Club,total_goals,wins,draws,losses,rain_games,rain_wins,rain_win_percent,matches_played
Man City,93,28,5,5,5,3,60.0,38
Man United,89,28,5,5,4,4,100.0,38
Dortmund,80,25,6,3,4,1,25.0,34
Bayern Munich,77,23,4,7,4,4,100.0,34
Ein Frankfurt,76,20,8,6,2,1,50.0,34
Arsenal,74,21,7,10,3,1,33.33,38
Schalke 04,74,20,4,10,1,0,0.0,34
Greuther Furth,73,20,10,4,4,2,50.0,34
Tottenham,66,20,9,9,4,4,100.0,38
Chelsea,65,18,10,10,6,4,66.67,38
Fortuna Dusseldorf,64,16,14,4,3,1,33.33,34
Stuttgart,63,15,8,11,1,0,0.0,34
Munich 1860,62,17,6,11,3,3,100.0,34
St Pauli,59,18,8,8,1,1,100.0,34
Newcastle,56,19,8,11,1,0,0.0,38
Union Berlin,55,14,6,14,2,1,50.0,34
Leverkusen,52,15,9,10,3,2,66.67,34
Norwich,52,12,11,15,3,1,33.33,38
Paderborn,51,17,10,7,4,3,75.0,34
Everton,50,15,11,12,1,1,100.0,38
Dresden,50,12,9,13,1,0,0.0,34
M'gladbach,49,17,9,8,2,1,50.0,34
Werder Bremen,49,11,9,14,3,1,33.33,34
Fulham,48,14,10,14,2,1,50.0,38
Blackburn,48,8,7,23,3,1,33.33,38
Liverpool,47,14,10,14,4,2,50.0,38
Wolfsburg,47,13,5,16,2,0,0.0,34
Mainz,47,9,12,13,3,0,0.0,34
Bolton,46,10,6,22,2,0,0.0,38
West Brom,45,13,8,17,3,0,0.0,38
Sunderland,45,11,12,15,4,2,50.0,38
Freiburg,45,10,10,14,2,1,50.0,34
Swansea,44,12,11,15,3,1,33.33,38
QPR,43,10,7,21,4,0,0.0,38
Ingolstadt,43,8,13,13,5,0,0.0,34
Frankfurt FSV,43,7,14,13,4,1,25.0,34
Wigan,42,11,10,17,3,1,33.33,38
Duisburg,42,10,9,15,4,1,25.0,34
Hannover,41,12,12,10,3,1,33.33,34
Bochum,41,10,7,17,3,1,33.33,34
Hoffenheim,41,10,11,13,1,0,0.0,34
Wolves,40,5,10,23,2,0,0.0,38
FC Koln,39,8,6,20,4,1,25.0,34
Nurnberg,38,12,6,16,1,1,100.0,34
Hertha,38,7,10,17,1,0,0.0,34
Braunschweig,37,10,15,9,2,0,0.0,34
Aston Villa,37,7,17,14,4,0,0.0,38
Stoke,36,11,12,15,3,1,33.33,38
Augsburg,36,8,14,12,2,0,0.0,34
Hamburg,35,8,12,14,2,0,0.0,34
Karlsruhe,34,9,6,19,3,0,0.0,34
Hansa Rostock,34,5,12,17,4,0,0.0,34
Erzgebirge Aue,31,8,11,15,3,0,0.0,34
Cottbus,30,8,11,15,2,1,50.0,34
Aachen,30,6,13,15,4,0,0.0,34
Kaiserslautern,24,4,11,19,5,0,0.0,34
