Match_ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,rain_game
1092,2012-03-31,Nurnberg,Bayern Munich,0,1,A,0
1093,2011-12-11,Stuttgart,Bayern Munich,1,2,A,0
1094,2011-08-13,Wolfsburg,Bayern Munich,0,1,A,0
1095,2011-11-27,Mainz,Bayern Munich,3,2,H,0
1096,2012-02-18,Freiburg,Bayern Munich,0,0,D,0
1097,2012-01-20,M'gladbach,Bayern Munich,3,1,H,0
1098,2012-02-04,Hamburg,Bayern Munich,1,1,D,0
1099,2012-04-21,Werder Bremen,Bayern Munich,1,2,A,0
1100,2011-09-18,Schalke 04,Bayern Munich,0,2,A,1
1101,2011-10-23,Hannover,Bayern Munich,2,1,H,0
1102,2011-10-01,Hoffenheim,Bayern Munich,0,0,D,0
1103,2012-03-03,Leverkusen,Bayern Munich,2,0,H,0
1104,2011-08-27,Kaiserslautern,Bayern Munich,0,3,A,1
1105,2012-03-17,Hertha,Bayern Munich,0,6,A,0
1106,2011-11-06,Augsburg,Bayern Munich,1,2,A,0
1107,2012-05-05,FC Koln,Bayern Munich,1,4,A,0
1108,2012-04-11,Dortmund,Bayern Munich,1,0,H,0
1109,2011-08-27,Leverkusen,Dortmund,0,0,D,1
1110,2011-12-17,Freiburg,Dortmund,1,4,A,0
1111,2012-02-18,Hertha,Dortmund,0,1,A,0
1112,2012-02-03,Nurnberg,Dortmund,0,2,A,0
1113,2011-08-13,Hoffenheim,Dortmund,1,0,H,0
1114,2011-10-29,Stuttgart,Dortmund,1,1,D,0
1115,2012-01-22,Hamburg,Dortmund,1,5,A,0
1116,2011-12-03,M'gladbach,Dortmund,1,1,D,1
1117,2012-04-14,Schalke 04,Dortmund,1,2,A,0
1118,2011-09-18,Hannover,Dortmund,2,1,H,1
1119,2012-03-25,FC Koln,Dortmund,1,6,A,0
1120,2012-03-10,Augsburg,Dortmund,0,0,D,0
1121,2012-04-07,Wolfsburg,Dortmund,1,3,A,0
1122,2011-11-19,Bayern Munich,Dortmund,0,1,A,0
1123,2011-10-14,Werder Bremen,Dortmund,0,2,A,0
1124,2011-09-24,Mainz,Dortmund,1,2,A,0
1125,2012-04-28,Kaiserslautern,Dortmund,2,5,A,0
1126,2011-12-18,Hansa Rostock,Dresden,2,2,D,1
1127,2012-03-02,Bochum,Dresden,0,2,A,0
1128,2012-03-16,Ein Frankfurt,Dresden,3,0,H,0
1129,2012-02-17,Paderborn,Dresden,2,2,D,0
1130,2011-08-06,Greuther Furth,Dresden,1,0,H,0
1131,2011-11-04,Fortuna Dusseldorf,Dresden,2,1,H,0
1132,2011-09-16,Ingolstadt,Dresden,4,2,H,0
1133,2011-07-15,Cottbus,Dresden,2,1,H,0
1134,2011-11-27,St Pauli,Dresden,3,1,H,0
1135,2012-05-06,Frankfurt FSV,Dresden,1,1,D,0
1136,2012-02-11,Union Berlin,Dresden,4,0,H,0
1137,2011-10-02,Munich 1860,Dresden,2,4,A,0
1138,2012-03-30,Aachen,Dresden,0,1,A,0
1139,2012-04-11,Karlsruhe,Dresden,2,0,H,0
1140,2011-10-22,Braunschweig,Dresden,0,2,A,0
1141,2012-04-21,Erzgebirge Aue,Dresden,1,1,D,0
1142,2011-08-26,Duisburg,Dresden,3,0,H,0
1143,2011-08-07,Frankfurt FSV,Duisburg,0,0,D,0
1144,2012-02-24,Dresden,Duisburg,2,0,H,0
1145,2011-12-18,Cottbus,Duisburg,1,1,D,1
1146,2011-07-17,Karlsruhe,Duisburg,3,2,H,0
1147,2012-04-11,Munich 1860,Duisburg,2,1,H,0
1148,2011-11-06,Aachen,Duisburg,2,2,D,0
